SubID,EventNo,XDAT,Pic_valence,Age,FixCount_sum..00,FixCount_Percent_sum..00,TotalFixDur_sum..00,TotalFixDur_Percent_sum..00,AvgFixDuration_sum..00,AvgInterFixDur_sum..00,AvgInterFixDeg_sum..00,AvgPupilDiam_sum..00,FirstFixTime_sum..00,FixCount_sum.1.00,FixCount_Percent_sum.1.00,TotalFixDur_sum.1.00,TotalFixDur_Percent_sum.1.00,AvgFixDuration_sum.1.00,AvgInterFixDur_sum.1.00,AvgInterFixDeg_sum.1.00,AvgPupilDiam_sum.1.00,FirstFixTime_sum.1.00,moodCond,Study2PicID,PicCulture,OrgPicID,Avg_Rating_Arousal,Rating_type_recoded.A,Avg_Rating_CulturalRelevance,Rating_type_recoded.C,Avg_Rating.Valence,Rating_type_recoded.V,H,W,PicArea,LZPixel,TotalArea,LZPicArea,LZTotal,Culture,Subject_Culture
76102,16,101,1,1,0,0,0,0,0,0,0,0,-1,14,100,3.237,100,.231,.044,3.21,42.333,.167,0,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76103,4,101,1,1,10,90.909,2.819,92.35,.282,.06,.799,28.455,.25,1,9.091,.234,7.65,.234,0,0,29,2.836,1,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76104,4,101,1,1,1,33.333,.1,19.355,.1,0,0,29.286,1.986,2,66.667,.417,80.645,.209,.1,6.831,33.11,1.352,0,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76108,23,101,1,1,2,28.571,.734,36.066,.367,0,0,38.531,.751,5,71.429,1.301,63.934,.26,.017,1.262,37.821,.3,0,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76110,33,101,1,1,5,55.556,1.151,47.917,.23,.028,3.259,44.59,.351,4,44.444,1.251,52.083,.313,.217,1.125,45.029,1.735,0,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76111,19,101,1,1,0,0,0,0,0,0,0,0,-1,1,100,.3,100,.3,0,0,33,1.968,1,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76112,34,101,1,1,0,0,0,0,0,0,0,0,-1,4,100,1.168,100,.292,.756,4.688,29.017,.551,0,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76116,29,101,1,1,0,0,0,0,0,0,0,0,-1,6,100,1.802,100,.3,.31,1.24,25.345,.634,0,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76117,21,101,1,1,0,0,0,0,0,0,0,0,-1,5,100,1.218,100,.244,.058,2.546,39.977,2.536,1,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76119,19,101,1,1,7,100,2.119,100,.303,.153,3.836,40.249,.718,0,0,0,0,0,0,0,0,-1,1,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76121,23,101,1,1,0,0,0,0,0,0,0,0,-1,10,100,3.27,100,.327,.08,1.968,31.812,0,1,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76122,32,101,1,1,0,0,0,0,0,0,0,0,-1,1,100,.184,100,.184,0,0,32.667,2.319,0,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76124,10,101,1,1,0,0,0,0,0,0,0,0,-1,12,100,2.87,100,.239,.083,3.654,42.998,0,0,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76126,1,101,1,1,2,25,.484,16.292,.242,0,0,30.128,1.151,6,75,2.486,83.708,.414,.067,3.259,30.669,.384,0,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76130,51,101,1,1,1,100,.167,100,.167,0,0,34.091,.184,0,0,0,0,0,0,0,0,-1,0,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76137,31,101,1,1,0,0,0,0,0,0,0,0,-1,3,100,1.318,100,.439,.826,2.635,33.826,.734,1,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76140,35,101,1,1,0,0,0,0,0,0,0,0,-1,7,100,2.202,100,.315,.061,3.388,32.362,1.418,0,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76141,22,101,1,1,0,0,0,0,0,0,0,0,-1,4,100,1.552,100,.388,.595,3.557,37.812,.401,1,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76143,14,101,1,1,1,20,.651,28.261,.651,0,0,31.158,2.019,4,80,1.652,71.739,.413,.067,2.325,31.626,.033,1,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76145,12,101,1,1,0,0,0,0,0,0,0,0,-1,5,100,2.603,100,.521,.138,4.476,29.311,.834,1,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76149,14,101,1,1,0,0,0,0,0,0,0,0,-1,1,100,.234,100,.234,0,0,36.733,0,1,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
76152,27,101,1,1,2,40,.884,65.432,.442,.35,1.099,29.982,.75,3,60,.467,34.568,.156,.217,1.846,29.489,.066,0,1,I,I002,6.01234567901235,2,2.96052631578947,3,7.32515337423313,1,403,553,222859,151811,691200,.681197528482134,.219633969907407,2,2
