Subject	Block	Stim.Arousal	Stim.Valence	StimuliList
6172	1	1	5	26
6172	2	2	5	41
6172	3	2	2	27
6172	4	4	5	2
6172	5	1	5	23
6172	6	5	5	9
6172	7	1	2	29
6172	8	2	1	40
6172	9	2	1	35
6172	10	3	5	6
6172	11	2	5	13
6172	12	2	1	28
6172	13	2	3	15
6172	14	4	2	38
6172	15	3	2	22
6172	16	3	3	7
6172	17	2	3	12
6172	18	4	2	34
6172	19	3	5	5
6172	20	4	1	36
6172	21	3	3	39
6172	22	2	3	45
6172	23	3	4	44
6172	24	3	5	17
6172	25	3	3	16
6172	26	3	4	24
6172	27	3	4	20
6172	28	3	2	33
6172	29	4	2	21
6172	30	3	3	11
6172	31	3	3	14
6172	32	3	4	8
6172	33	3	1	31
6172	34	2	2	30
6172	35	3	4	19
6172	36	3	3	42
6172	37	3	3	43
6172	38	3	4	3
6172	39	5	1	37
6172	40	2	5	1
6172	41	4	5	10
6172	42	1	3	25
6172	43	1	3	32
6172	44	3	3	18
6172	45	3	5	4
76101	1	2	4	41
76101	2	4	5	14
76101	3	2	4	26
76101	4	3	3	12
76101	5	2	3	24
76101	6	4	5	11
76101	7	3	2	44
76101	8	4	3	28
76101	9	5	1	34
76101	10	1	4	23
76101	11	5	2	36
76101	12	1	3	17
76101	13	2	2	22
76101	14	5	5	1
76101	15	4	1	33
76101	16	1	3	16
76101	17	4	5	5
76101	18	5	4	7
76101	19	3	4	3
76101	20	3	1	31
76101	21	5	5	6
76101	22	4	4	2
76101	23	1	3	43
76101	24	4	4	8
76101	25	2	1	37
76101	26	3	5	9
76101	27	1	3	15
76101	28	4	5	4
76101	29	3	2	32
76101	30	1	3	39
76101	31	2	1	40
76101	32	4	1	35
76101	33	3	3	42
76101	34	4	1	30
76101	35	3	5	13
76101	36	3	1	29
76101	37	4	2	38
76101	38	1	4	19
76101	39	4	4	45
76101	40	1	3	21
76101	41	2	4	25
76101	42	3	1	27
76101	43	4	5	10
76101	44	1	3	20
76101	45	1	4	18
76102	1	3	4	2
76102	2	4	5	7
76102	3	3	4	11
76102	4	1	4	16
76102	5	2	3	21
76102	6	1	4	20
76102	7	4	1	37
76102	8	2	3	13
76102	9	2	3	19
76102	10	4	2	28
76102	11	1	3	18
76102	12	3	4	9
76102	13	2	3	45
76102	14	4	1	38
76102	15	1	4	24
76102	16	2	3	14
76102	17	4	4	1
76102	18	1	4	29
76102	19	4	2	34
76102	20	2	2	27
76102	21	5	2	35
76102	22	4	2	22
76102	23	4	4	4
76102	24	2	4	17
76102	25	4	1	36
76102	26	3	5	6
76102	27	1	2	33
76102	28	1	2	30
76102	29	2	4	26
76102	30	1	3	43
76102	31	1	4	10
76102	32	4	3	12
76102	33	4	3	44
76102	34	4	2	39
76102	35	4	3	42
76102	36	1	3	23
76102	37	3	4	15
76102	38	4	3	32
76102	39	4	4	5
76102	40	4	3	25
76102	41	4	2	31
76102	42	2	3	41
76102	43	3	4	3
76102	44	2	2	40
76102	45	3	2	8
76103	1	3	3	23
76103	2	3	4	14
76103	3	3	4	10
76103	4	4	4	1
76103	5	3	4	3
76103	6	3	2	31
76103	7	3	3	18
76103	8	4	2	27
76103	9	4	2	28
76103	10	4	4	24
76103	11	3	3	21
76103	12	3	3	11
76103	13	4	2	29
76103	14	3	3	44
76103	15	3	3	26
76103	16	4	2	33
76103	17	3	3	40
76103	18	3	3	8
76103	19	3	3	22
76103	20	3	1	38
76103	21	3	3	25
76103	22	3	3	39
76103	23	4	1	36
76103	24	3	3	45
76103	25	4	1	34
76103	26	4	4	4
76103	27	3	4	9
76103	28	3	3	42
76103	29	3	3	15
76103	30	4	4	6
76103	31	4	4	2
76103	32	3	4	17
76103	33	3	2	12
76103	34	3	2	41
76103	35	3	1	37
76103	36	3	3	30
76103	37	3	3	32
76103	38	4	2	35
76103	39	3	3	16
76103	40	3	4	20
76103	41	3	3	43
76103	42	3	5	5
76103	43	3	3	19
76103	44	3	3	13
76103	45	3	4	7
76104	1	3	3	8
76104	2	3	2	27
76104	3	3	3	31
